x,y
781.0356445,0.00276682945
781.2034912,0.00117869419
781.3712769,0.00246905419
781.5390625,0.004354964942
781.7069092,0.00299843261
781.8746948,0.004586567637
782.0425415,0.003957930952
782.2103882,0.006472478621
782.3781738,0.008854681626
782.5460205,0.008953940123
782.7138672,0.008953940123
782.8817139,0.00807715673
783.0495605,0.007630493958
783.2174072,0.008044070564
783.3852539,0.00819295831
783.5531006,0.01183243562
783.7210083,0.0171096772
783.888855,0.02132816054
784.0567017,0.05376913399
784.2246094,0.278060168
784.3924561,0.8369845152
784.5603638,0.9862692356
784.7282715,0.689486444
784.8961792,0.5083066821
785.0640259,0.3493608236
785.2319336,0.2593664825
785.3998413,0.2334104031
785.567749,0.2081325799
785.7356567,0.1787686199
785.9036255,0.1397104114
786.0715332,0.1165997386
786.2394409,0.09039550275
786.4074097,0.0774422735
786.5753174,0.06093228608
786.7432861,0.05451356992
786.9111938,0.04597734287
787.0791626,0.03782160953
787.2471313,0.02812736481
787.4150391,0.0233629588
787.5830078,0.01424772386
787.7509766,0.01057516132
787.9189453,0.008920853958
788.0869141,0.008060613647
788.2548828,0.006158160046
788.4229126,0.004503852688
788.5908813,0.004652739968
788.7588501,0.005496437196
788.9268799,0.00405718945
789.0948486,0.003263121704
