x,y
779.5256958,0.0008390153525
779.6934204,-0.0001417767489
779.8612061,0.002150320914
780.0289917,0.002183408244
780.1967163,0.00160172116
780.364502,0.0007046937244
780.5322876,0.000971737667
780.7000732,0.002232943196
780.8678589,0.0006066821516
781.0356445,0.003430078039
781.2034912,0.001950786333
781.3712769,0.002416535048
781.5390625,0.003082227428
781.7069092,0.001885104459
781.8746948,0.003280619625
782.0425415,0.004576150794
782.2103882,0.005390111357
782.3781738,0.004128497094
782.5460205,0.006321139634
782.7138672,0.006536893081
782.8817139,0.006470549852
783.0495605,0.006303453352
783.2174072,0.006005655043
783.3852539,0.005906356499
783.5531006,0.009810672142
783.7210083,0.0114560863
783.888855,0.01165592112
784.0567017,0.01301786862
784.2246094,0.04510175064
784.3924561,0.2048310041
784.5603638,0.6342668533
784.7282715,0.995595634
784.8961792,0.7395617366
785.0640259,0.5032017827
785.2319336,0.2735369503
785.3998413,0.1981841922
785.567749,0.150047645
785.7356567,0.1232298836
785.9036255,0.08551327139
786.0715332,0.06020619348
786.2394409,0.04463678598
786.4074097,0.03777406737
786.5753174,0.02675880305
786.7432861,0.02303598821
786.9111938,0.01740351506
787.0791626,0.0130508719
787.2471313,0.0103756953
787.4150391,0.007517889142
787.5830078,0.0064716083
787.7509766,0.006886390969
787.9189453,0.007616033778
788.0869141,0.005855462514
788.2548828,0.00455952296
788.4229126,0.003646095982
788.5908813,0.003696569009
788.7588501,0.004476515576
788.9268799,0.003928529564
789.0948486,0.004344550893
789.2628784,0.002483118791
789.4308472,0.004659831058
789.598877,0.004493384156
789.7669067,0.003330563195
789.9349365,0.002416426782
790.1029053,0.0002904518042
790.2709351,0.002598948777
790.4389648,0.00196838798
790.6069946,0.003744889284
790.7750854,0.00372812897
790.9431152,0.001585958991
791.111145,0.002150453161
791.2792358,0.00218408159
791.4472656,0.001568501582
791.6152954,0.001984775532
791.7833862,-0.0007389010862
791.9514771,0.001385642914
792.1195068,0.0009874637472
792.2875977,0.0009041079902
792.4556885,0.003428659169
792.6237793,0.00110387092
792.7918701,0.002481807955
792.9599609,-0.001072071842
793.1280518,0.002797593363
793.2961426,0.002399149816
793.4642334,0.002648110967
793.6323853,0.0002892374177
793.8004761,0.0005886112922
