Paracetamol,
929.43,4315.7
931.47,4223.6
933.52,4180.5
935.56,4231.4
937.6,4272.4
939.65,4329.4
941.69,4487.5
943.73,4739.7
945.76,5166.0
947.8,5059.0
949.84,4535.9
951.88,4398.3
953.91,4436.3
955.95,4610.3
957.98,5001.2
960.01,5984.1
962.04,7929.9
964.07,11262.7
966.11,14279.0
968.13,13213.1
970.16,9248.2
972.19,6548.4
974.22,5434.8
976.24,4896.1
978.27,4599.3
980.29,4516.7
982.32,4458.6
984.34,4304.5
986.36,4376.3
988.38,4450.7
990.4,4484.9
992.42,4591.7
994.44,4770.8
996.46,4847.6
998.47,4983.5
1000.49,5251.7
1002.51,5646.9
1004.52,5957.9
1006.53,6281.8
1008.55,6499.8
1010.56,6749.5
1012.57,7505.3
1014.58,7759.6
1016.59,7305.7
1018.6,6642.1
1020.6,5968.9
1022.61,5479.9
1024.62,5241.6
1026.62,5021.5
1028.63,5094.0
1030.63,5180.8
1032.63,5288.7
1034.63,5368.6
1036.64,5020.4
1038.64,4756.5
1040.63,4801.8
1042.63,4708.0
1044.63,4548.3
1046.63,4526.9
1048.62,4246.5
1050.62,4182.9
1052.61,4123.4
1054.61,4222.1
1056.6,4034.2
1058.59,4109.8
1060.58,4120.7
1062.57,4106.4
1064.56,3941.7
1066.55,3845.2
1068.54,3852.9
1070.52,3905.5
1072.51,3901.2
1074.5,3916.8
1076.48,3918.9
1078.46,3962.5
1080.45,3964.8
1082.43,3921.6
1084.41,3972.1
1086.39,4046.5
1088.37,4041.8
1090.35,4155.8
1092.33,4415.8
1094.3,4786.0
1096.28,5756.6
1098.25,7304.0
1100.23,8849.0
1102.2,9584.6
1104.18,9156.8
1106.15,7944.9
1108.12,6434.7
1110.09,5292.3
1112.06,4799.6
1114.03,4449.1
1116.0,4525.2
1117.96,4625.0
1119.93,4820.4
1121.89,4890.8
1123.86,4729.6
1125.82,4658.2
1127.79,4314.4
1129.75,4196.4
1131.71,3945.5
1133.67,3875.3
1135.63,3832.2
1137.59,3923.6
1139.55,3789.0
1141.51,3902.8
1143.46,3939.0
1145.42,3990.2
1147.37,4103.1
1149.33,4192.1
1151.28,4263.5
1153.23,4443.7
1155.19,4747.8
1157.14,5354.4
1159.09,6585.4
1161.04,10142.6
1162.99,19076.9
1164.93,32153.4
1166.88,35848.9
1168.83,20835.2
1170.77,10090.8
1172.72,6501.6
1174.66,5181.2
1176.6,4631.4
1178.55,4463.9
1180.49,4393.0
1182.43,4423.6
1184.37,4426.0
1186.31,4417.9
1188.24,4433.9
1190.18,4369.4
1192.12,4417.6
1194.05,4421.2
1195.99,4459.6
1197.92,4533.5
1199.86,4679.0
1201.79,4994.5
1203.72,5288.8
1205.65,5696.7
1207.58,6246.6
1209.51,7103.1
1211.44,7887.7
1213.37,8799.6
1215.3,9575.7
1217.22,10558.3
1219.15,11686.2
1221.07,12803.8
1223.0,13745.6
1224.92,14887.6
1226.84,17046.4
1228.76,20972.0
1230.68,28416.2
1232.6,38191.3
1234.52,43488.2
1236.44,38402.1
1238.36,28143.4
1240.28,19155.9
1242.19,13388.7
1244.11,11098.8
1246.02,10092.8
1247.94,10255.5
1249.85,11345.8
1251.76,13375.8
1253.67,15348.0
1255.58,15278.9
1257.49,12707.7
1259.4,9502.5
1261.31,7648.1
1263.22,7093.7
1265.12,7366.4
1267.03,8542.4
1268.93,10835.7
1270.84,14304.9
1272.74,18530.4
1274.64,21903.8
1276.55,22104.5
1278.45,18719.7
1280.35,13417.0
1282.25,9761.8
1284.15,7630.7
1286.04,6628.8
1287.94,6103.5
1289.84,5857.4
1291.73,5840.7
1293.63,5920.5
1295.52,5894.4
1297.42,5889.2
1299.31,5961.7
1301.2,6000.4
1303.09,6176.3
1304.98,6490.6
1306.87,7161.1
1308.76,8194.6
1310.65,9712.3
1312.53,12658.6
1314.42,17533.0
1316.31,25278.4
1318.19,35623.1
1320.08,44302.9
1321.96,46669.7
1323.84,41681.6
1325.72,34831.3
1327.6,27931.3
1329.48,22028.7
1331.36,17049.5
1333.24,13091.1
1335.12,10819.4
1337.0,9377.1
1338.87,8492.5
1340.75,7928.4
1342.62,7269.4
1344.5,7051.1
1346.37,6959.8
1348.24,6950.4
1350.12,7089.9
1351.99,7463.8
1353.86,8070.7
1355.73,8922.8
1357.6,9963.1
1359.46,11382.6
1361.33,12984.7
1363.2,15614.3
1365.06,18441.9
1366.93,20922.1
1368.79,21911.3
1370.66,20991.2
1372.52,18593.5
1374.38,15598.1
1376.24,12899.8
1378.1,10755.1
1379.96,9200.3
1381.82,7998.3
1383.68,7121.8
1385.54,6491.7
1387.39,6103.7
1389.25,5743.4
1391.1,5411.4
1392.96,5141.4
1394.81,5001.5
1396.66,4914.0
1398.52,4792.6
1400.37,4653.1
1402.22,4721.5
1404.07,4644.2
1405.92,4581.4
1407.77,4596.8
1409.61,4556.1
1411.46,4582.3
1413.31,4693.9
1415.15,4775.8
1417.0,4943.7
1418.84,5038.0
1420.68,5183.1
1422.53,5260.1
1424.37,5246.0
1426.21,5390.6
1428.05,5665.6
1429.89,5667.5
1431.73,5803.1
1433.56,6026.5
1435.4,6198.2
1437.24,6321.6
1439.07,6434.1
1440.91,6665.6
1442.74,6696.8
1444.57,6603.7
1446.41,6265.0
1448.24,5956.9
1450.07,5641.2
1451.9,5252.5
1453.73,5008.6
1455.56,4710.5
1457.39,4528.6
1459.21,4286.4
1461.04,4273.4
1462.87,4080.7
1464.69,3983.6
1466.52,3922.4
1468.34,3801.0
1470.16,3802.4
1471.99,3665.2
1473.81,3584.0
1475.63,3542.7
1477.45,3463.1
1479.27,3430.9
