Paracetamol,
2719.42,1340.6
2720.75,1429.6
2722.08,1339.3
2723.41,1349.5
2724.74,1377.7
2726.06,1345.0
2727.39,1378.6
2728.72,1325.5
2730.05,1321.7
2731.37,1513.7
2732.7,1302.4
2734.03,1345.2
2735.35,1312.5
2736.68,1372.1
2738.0,1328.5
2739.32,1297.0
2740.65,1500.2
2741.97,1250.8
2743.29,1264.8
2744.61,1265.5
2745.93,1300.4
2747.25,1289.1
2748.57,1286.1
2749.89,1292.2
2751.21,1288.5
2752.53,1281.7
2753.85,1258.7
2755.17,1289.2
2756.48,1248.3
2757.8,1239.8
2759.12,1281.0
2760.43,1303.1
2761.75,1378.6
2763.06,1315.8
2764.38,1269.7
2765.69,1269.2
2767.0,1336.2
2768.31,1282.1
2769.63,1313.3
2770.94,1299.2
2772.25,1275.0
2773.56,1277.2
2774.87,1279.5
2776.18,1338.3
2777.49,1282.4
2778.8,1328.0
2780.1,1268.6
2781.41,1357.6
2782.72,1287.6
2784.03,1280.4
2785.33,1336.2
2786.64,1293.5
2787.94,1312.6
2789.25,1407.1
2790.55,1331.2
2791.85,1305.9
2793.16,1270.0
2794.46,1265.8
2795.76,1295.3
2797.06,1288.3
2798.36,1361.9
2799.66,1307.7
2800.96,1330.1
2802.26,1303.2
2803.56,1284.4
2804.86,1262.5
2806.16,1249.5
2807.46,1301.7
2808.75,1313.0
2810.05,1281.9
2811.35,1359.7
2812.64,1250.4
2813.94,1269.9
2815.23,1277.0
2816.53,1450.3
2817.82,1321.4
2819.11,1283.9
2820.4,1276.3
2821.7,1276.6
2822.99,1301.9
2824.28,1315.9
2825.57,1340.3
2826.86,1308.7
2828.15,1303.8
2829.44,1337.1
2830.73,1320.3
2832.02,1361.0
2833.3,1399.7
2834.59,1448.3
2835.88,1354.1
2837.16,1412.6
2838.45,1413.8
2839.73,1362.5
2841.02,1402.2
2842.3,1488.2
2843.59,1433.5
2844.87,1441.2
2846.15,1387.4
2847.44,1414.2
2848.72,1412.5
2850.0,1464.4
2851.28,1396.3
2852.56,1395.9
2853.84,1437.4
2855.12,1575.7
2856.4,1444.7
2857.68,1362.9
2858.95,1334.3
2860.23,1343.7
2861.51,1387.3
2862.78,1378.2
2864.06,1400.4
2865.34,1405.4
2866.61,1364.3
2867.89,1422.2
2869.16,1390.2
2870.43,1449.8
2871.71,1459.0
2872.98,1431.2
2874.25,1454.1
2875.52,1484.5
2876.79,1496.7
2878.06,1552.2
2879.33,1570.8
2880.6,1592.5
2881.87,1482.2
2883.14,1548.8
2884.41,1503.6
2885.68,1523.6
2886.94,1532.9
2888.21,1531.6
2889.48,1503.3
2890.74,1495.8
2892.01,1480.3
2893.27,1578.4
2894.54,1579.8
2895.8,1577.0
2897.06,1539.4
2898.33,1498.2
2899.59,1542.9
2900.85,1558.3
2902.11,1529.3
2903.37,1547.7
2904.63,1677.6
2905.89,1575.1
2907.15,1593.1
2908.41,1657.8
2909.67,1643.3
2910.93,1650.3
2912.19,1673.6
2913.44,1734.3
2914.7,1928.0
2915.96,1805.0
2917.21,1871.7
2918.47,1981.8
2919.72,2154.5
2920.98,2162.4
2922.23,2239.5
2923.48,2404.7
2924.74,2467.9
2925.99,2573.0
2927.24,2676.5
2928.49,2684.5
2929.74,2810.3
2930.99,2955.4
2932.24,2619.2
2933.49,2531.5
2934.74,2697.1
2935.99,2308.2
2937.24,2313.4
2938.48,2094.9
2939.73,2036.7
2940.98,1920.0
2942.22,1828.0
2943.47,1771.9
2944.72,1689.4
2945.96,1661.7
2947.2,1700.1
2948.45,1649.9
2949.69,1635.2
2950.93,1550.9
2952.18,1516.8
2953.42,1539.7
2954.66,1522.6
2955.9,1467.0
2957.14,1481.3
2958.38,1445.3
2959.62,1468.5
2960.86,1440.9
2962.1,1456.0
2963.34,1529.3
2964.57,1432.1
2965.81,1533.2
2967.05,1472.8
2968.28,1841.7
2969.52,1421.7
2970.75,1448.1
2971.99,1515.1
2973.22,1519.3
2974.46,1450.1
2975.69,1426.5
2976.92,1524.2
2978.16,1462.8
2979.39,1444.0
2980.62,1580.7
2981.85,1543.5
2983.08,1437.6
2984.31,1454.6
2985.54,1435.1
2986.77,1471.1
2988.0,1575.7
2989.23,1441.0
2990.46,1454.4
2991.68,1543.7
2992.91,1441.3
2994.14,1512.6
2995.36,1418.1
2996.59,1487.8
2997.81,1455.1
2999.04,1478.0
3000.26,1450.5
3001.48,1514.2
3002.71,1534.4
3003.93,1521.0
3005.15,1546.0
3006.37,1580.3
3007.6,1564.6
3008.82,1551.1
3010.04,1605.1
3011.26,1504.6
3012.48,1514.3
3013.69,1614.0
3014.91,1490.6
3016.13,1438.1
3017.35,1468.1
3018.57,1457.3
3019.78,1473.5
3021.0,1426.4
3022.21,1432.2
3023.43,1482.9
3024.64,1416.6
3025.86,1445.8
3027.07,1421.9
3028.29,1466.7
3029.5,1437.1
3030.71,1477.7
3031.92,1492.6
3033.13,1477.9
3034.35,1486.8
3035.56,1561.6
3036.77,1512.2
3037.98,1645.5
3039.19,1650.9
3040.39,1655.8
3041.6,1678.5
3042.81,1774.2
3044.02,1730.5
3045.22,1835.5
3046.43,1949.9
3047.64,1905.5
3048.84,1935.1
3050.05,1963.0
3051.25,1975.9
3052.46,2064.8
3053.66,2071.8
3054.86,1966.6
3056.07,2043.1
3057.27,2073.0
3058.47,2074.4
3059.67,2138.0
3060.87,2114.5
3062.07,2247.0
3063.27,2267.2
3064.47,2220.3
3065.67,2166.6
3066.87,2144.3
3068.07,2099.9
3069.27,2090.2
3070.47,2163.2
3071.66,2031.2
3072.86,2034.2
3074.05,2030.7
3075.25,1948.8
3076.45,2030.7
3077.64,1902.5
3078.83,1795.9
3080.03,1710.3
3081.22,1749.1
3082.41,1757.6
3083.61,1584.1
3084.8,1548.0
3085.99,1497.1
3087.18,1465.3
3088.37,1483.7
3089.56,1451.0
3090.75,1497.6
3091.94,1494.8
3093.13,1525.2
3094.32,1598.3
3095.51,1549.8
3096.69,1582.9
3097.88,1642.0
3099.07,1691.5
3100.25,1712.9
3101.44,1750.8
3102.62,1750.4
3103.81,1747.9
3104.99,1761.2
3106.18,1581.9
3107.36,1504.8
3108.54,1499.3
3109.72,1442.9
3110.91,1463.4
3112.09,1368.9
3113.27,1353.8
3114.45,1358.2
3115.63,1358.9
3116.81,1379.8
3117.99,1415.4
3119.17,1415.6
3120.35,1468.6
3121.52,1362.4
3122.7,1521.0
3123.88,1391.6
3125.06,1318.4
3126.23,1368.1
3127.41,1349.9
3128.58,1314.7
3129.76,1378.2
3130.93,1344.7
3132.11,1358.0
3133.28,1390.0
3134.45,1338.6
3135.63,1334.1
3136.8,1365.4
3137.97,1445.6
3139.14,1310.6
3140.31,1385.3
3141.48,1325.5
3142.65,1442.8
3143.82,1392.0
3144.99,1377.2
3146.16,1315.4
3147.33,1290.0
3148.5,1306.7
3149.66,1362.7
3150.83,1303.3
3152.0,1347.0
3153.16,1377.7
3154.33,1445.4
3155.49,1420.2
3156.66,1427.5
3157.82,1391.8
3158.99,1373.4
3160.15,1381.2
3161.31,1349.1
3162.47,1353.2
3163.64,1322.4
3164.8,1343.5
3165.96,1375.6
3167.12,1367.1
3168.28,1338.4
3169.44,1311.3
3170.6,1297.1
3171.76,1293.0
3172.92,1280.9
3174.08,1368.9
3175.23,1369.6
3176.39,1374.4
3177.55,1311.4
3178.7,1582.5
3179.86,1336.8
3181.01,1306.5
3182.17,1313.0
3183.32,1373.0
3184.48,1311.0
3185.63,1379.9
3186.79,1299.6
3187.94,1435.4
3189.09,1448.5
3190.24,1431.1
3191.39,1361.3
3192.55,1295.5
3193.7,1238.2
3194.85,1350.0
3196.0,1351.9
3197.15,1414.7
3198.29,1374.8
3199.44,1304.3
