N,N - Dimethylformahide
cm^-1,Intensity
422.0,3336.099365234375
423.0,3230.43212890625
424.0,3136.91552734375
425.0,3052.982177734375
426.0,2976.7021484375
427.0,2907.2451171875
428.0,2845.267578125
429.0,2792.1943359375
430.0,2748.443115234375
431.0,2712.02783203125
432.0,2679.0439453125
433.0,2645.877685546875
434.0,2611.239501953125
435.0,2576.287353515625
436.0,2542.947265625
437.0,2512.23779296875
438.0,2484.09521484375
439.0,2458.408203125
440.0,2435.750732421875
441.0,2416.89111328125
442.0,2401.715087890625
443.0,2388.84375
444.0,2376.35302734375
445.0,2362.79931640625
446.0,2347.59814453125
447.0,2330.751953125
448.0,2312.59228515625
449.0,2293.90576171875
450.0,2276.039794921875
451.0,2260.504638671875
452.0,2248.257568359375
453.0,2239.33056640625
454.0,2233.05859375
455.0,2228.430419921875
456.0,2224.079345703125
457.0,2218.200439453125
458.0,2209.131591796875
459.0,2196.631103515625
460.0,2182.705322265625
461.0,2170.769287109375
462.0,2163.345703125
463.0,2160.1083984375
464.0,2158.058349609375
465.0,2153.7705078125
466.0,2145.832275390625
467.0,2135.5224609375
468.0,2125.442626953125
469.0,2117.560546875
470.0,2112.278076171875
471.0,2108.889892578125
472.0,2106.513671875
473.0,2104.4345703125
474.0,2101.756103515625
475.0,2097.15576171875
476.0,2089.48193359375
477.0,2078.975341796875
478.0,2067.965087890625
479.0,2060.038330078125
480.0,2057.880126953125
481.0,2061.257080078125
482.0,2066.777587890625
483.0,2069.752197265625
484.0,2066.872802734375
485.0,2057.8896484375
486.0,2045.35986328125
487.0,2032.983642578125
488.0,2023.7689208984373
489.0,2018.89794921875
490.0,2017.4835205078125
491.0,2017.0594482421875
492.0,2014.6490478515625
493.0,2008.16552734375
494.0,1997.564697265625
495.0,1984.994873046875
496.0,1973.6043701171875
497.0,1965.58056640625
498.0,1960.6756591796875
499.0,1956.3411865234373
500.0,1949.5601806640625
501.0,1939.14111328125
502.0,1926.694580078125
503.0,1915.425537109375
504.0,1907.6507568359373
505.0,1903.1510009765625
506.0,1899.787841796875
507.0,1895.6728515625
508.0,1890.7054443359373
509.0,1886.0294189453125
510.0,1882.18212890625
511.0,1878.0888671875
512.0,1871.98095703125
513.0,1863.1187744140625
514.0,1852.397705078125
515.0,1841.356689453125
516.0,1831.000244140625
517.0,1821.825927734375
518.0,1814.63916015625
519.0,1810.5606689453125
520.0,1809.6854248046875
521.0,1809.9373779296875
522.0,1807.968017578125
523.0,1801.79345703125
524.0,1792.6563720703125
525.0,1784.0262451171875
526.0,1778.55517578125
527.0,1775.9876708984375
528.0,1773.9837646484375
529.0,1770.7691650390625
530.0,1766.7568359375
531.0,1763.6265869140625
532.0,1762.166748046875
533.0,1761.28564453125
534.0,1759.1014404296875
535.0,1754.8118896484375
536.0,1749.4498291015625
537.0,1744.9793701171875
538.0,1742.732666015625
539.0,1742.48291015625
540.0,1742.6778564453125
541.0,1741.501708984375
542.0,1738.05322265625
543.0,1732.9388427734375
544.0,1727.85400390625
545.0,1724.34033203125
546.0,1722.630615234375
547.0,1721.57177734375
548.0,1719.7017822265625
549.0,1716.4739990234375
550.0,1712.5299072265625
551.0,1708.974853515625
552.0,1706.6075439453125
553.0,1705.837646484375
554.0,1706.9583740234375
555.0,1709.97802734375
556.0,1713.961669921875
557.0,1716.8155517578125
558.0,1716.263916015625
559.0,1711.4715576171875
560.0,1703.880859375
561.0,1696.438232421875
562.0,1691.8311767578125
563.0,1691.1195068359375
564.0,1693.513427734375
565.0,1697.0196533203125
566.0,1699.363037109375
567.0,1698.935302734375
568.0,1695.6533203125
569.0,1691.25146484375
570.0,1688.470703125
571.0,1689.39404296875
572.0,1694.1197509765625
573.0,1700.8519287109375
574.0,1707.2265625
575.0,1711.6309814453125
576.0,1713.5916748046875
577.0,1713.409912109375
578.0,1711.7325439453125
579.0,1709.2529296875
580.0,1706.2967529296875
581.0,1702.463623046875
582.0,1697.0181884765625
583.0,1690.148193359375
584.0,1683.8900146484375
585.0,1681.2652587890625
586.0,1683.8963623046875
587.0,1690.33447265625
588.0,1697.0277099609375
589.0,1701.241943359375
590.0,1703.08984375
591.0,1704.6617431640625
592.0,1707.32421875
593.0,1710.1280517578125
594.0,1710.9073486328125
595.0,1708.7303466796875
596.0,1705.0775146484375
597.0,1702.696044921875
598.0,1703.5211181640625
599.0,1707.637451171875
600.0,1713.7451171875
601.0,1720.07470703125
602.0,1724.816650390625
603.0,1726.3001708984375
604.0,1723.5946044921875
605.0,1717.333251953125
606.0,1709.74755859375
607.0,1703.437744140625
608.0,1699.8138427734375
609.0,1698.6551513671875
610.0,1699.0985107421875
611.0,1700.8294677734375
612.0,1704.156005859375
613.0,1709.057373046875
614.0,1714.546630859375
615.0,1719.2987060546875
616.0,1722.9346923828125
617.0,1726.4796142578125
618.0,1731.389404296875
619.0,1738.1365966796875
620.0,1745.8682861328125
621.0,1753.469970703125
622.0,1760.8011474609375
623.0,1768.6873779296875
624.0,1777.6741943359375
625.0,1786.9808349609375
626.0,1794.9527587890625
627.0,1800.7596435546875
628.0,1805.73095703125
629.0,1812.936767578125
630.0,1825.1669921875
631.0,1842.8863525390625
632.0,1863.872314453125
633.0,1884.961669921875
634.0,1904.5770263671875
635.0,1923.9224853515625
636.0,1945.8927001953125
637.0,1972.9681396484373
638.0,2006.353515625
639.0,2047.10009765625
640.0,2097.607177734375
641.0,2161.699462890625
642.0,2243.664794921875
643.0,2348.006591796875
644.0,2480.17431640625
645.0,2646.729736328125
646.0,2854.579345703125
647.0,3111.528564453125
648.0,3430.393310546875
649.0,3837.1298828125
650.0,4385.0712890625
651.0,5179.16748046875
652.0,6402.0048828125
653.0,8304.5673828125
654.0,11110.20703125
655.0,14824.68359375
656.0,19045.654296875
657.0,22936.359375
658.0,25470.958984375
659.0,25874.783203125
660.0,24008.677734375
661.0,20444.810546875
662.0,16178.990234375
663.0,12170.5673828125
664.0,8994.466796875
665.0,6769.142578125
666.0,5314.92626953125
667.0,4372.7119140625
668.0,3741.25927734375
669.0,3303.376220703125
670.0,2994.36865234375
671.0,2771.625732421875
672.0,2604.547607421875
673.0,2473.990966796875
674.0,2369.442626953125
675.0,2284.051513671875
676.0,2212.56787109375
677.0,2152.570068359375
678.0,2104.737060546875
679.0,2069.870849609375
680.0,2045.441162109375
681.0,2025.72705078125
682.0,2005.637939453125
683.0,1984.0369873046875
684.0,1963.0947265625
685.0,1944.877685546875
686.0,1929.2735595703125
687.0,1915.1561279296875
688.0,1902.59912109375
689.0,1893.0972900390625
690.0,1887.66357421875
691.0,1885.2325439453125
692.0,1883.102294921875
693.0,1878.7476806640625
694.0,1871.348876953125
695.0,1862.185302734375
696.0,1853.886962890625
697.0,1848.7864990234373
698.0,1847.1263427734373
699.0,1846.5609130859373
700.0,1843.7911376953125
701.0,1837.14697265625
702.0,1827.7261962890625
703.0,1818.1414794921875
704.0,1810.44091796875
705.0,1805.31689453125
706.0,1802.7867431640625
707.0,1802.7884521484373
708.0,1804.6942138671875
709.0,1806.5965576171875
710.0,1805.80078125
711.0,1800.589599609375
712.0,1791.7445068359375
713.0,1782.2835693359375
714.0,1775.3751220703125
715.0,1772.0010986328125
716.0,1770.3101806640625
717.0,1767.3055419921875
718.0,1761.4815673828125
719.0,1754.04345703125
720.0,1747.6058349609375
721.0,1743.7474365234375
722.0,1741.9132080078125
723.0,1740.606689453125
724.0,1739.2923583984375
725.0,1738.7852783203125
726.0,1739.781982421875
727.0,1741.3167724609375
728.0,1740.9444580078125
729.0,1736.571044921875
730.0,1728.2591552734375
731.0,1718.4656982421875
732.0,1710.52783203125
733.0,1706.5068359375
734.0,1705.92529296875
735.0,1706.3648681640625
736.0,1705.566162109375
737.0,1703.3568115234375
738.0,1701.6324462890625
739.0,1702.237060546875
740.0,1704.684326171875
741.0,1706.098876953125
742.0,1703.7445068359375
743.0,1697.83740234375
744.0,1691.779296875
745.0,1689.3272705078125
746.0,1691.3092041015625
747.0,1695.0701904296875
748.0,1697.1337890625
749.0,1696.3370361328125
750.0,1694.3907470703125
751.0,1693.68408203125
752.0,1694.930419921875
753.0,1696.93798828125
754.0,1698.150146484375
755.0,1697.9576416015625
756.0,1696.7738037109375
