x_original,nm,cm^-1,intensity
940.83,917.12,1831.41,10845.00
940.78,917.08,1830.91,10903.00
940.73,917.03,1830.42,10855.00
940.67,916.99,1829.92,10802.00
940.62,916.95,1829.42,10844.00
940.57,916.91,1828.92,10827.00
940.52,916.87,1828.43,10762.00
940.47,916.82,1827.93,10859.00
940.41,916.78,1827.43,10841.00
940.36,916.74,1826.93,10786.00
940.31,916.70,1826.43,10845.00
940.26,916.66,1825.94,10824.00
940.21,916.61,1825.44,10783.00
940.15,916.57,1824.94,10865.00
940.10,916.53,1824.44,10762.00
940.05,916.49,1823.94,10783.00
940.00,916.45,1823.44,10753.00
939.95,916.41,1822.95,10852.00
939.89,916.36,1822.45,10849.00
939.84,916.32,1821.95,10788.00
939.79,916.28,1821.45,10735.00
939.74,916.24,1820.95,10764.00
939.68,916.20,1820.45,10769.00
939.63,916.15,1819.96,10757.00
939.58,916.11,1819.46,10805.00
939.53,916.07,1818.96,10781.00
939.48,916.03,1818.46,10731.00
939.42,915.99,1817.96,10758.00
939.37,915.94,1817.46,10709.00
939.32,915.90,1816.96,10723.00
939.27,915.86,1816.46,10779.00
939.22,915.82,1815.97,10741.00
939.16,915.78,1815.47,10678.00
939.11,915.73,1814.97,10761.00
939.06,915.69,1814.47,10671.00
939.01,915.65,1813.97,10708.00
938.96,915.61,1813.47,10709.00
938.90,915.57,1812.97,10601.00
938.85,915.52,1812.47,10744.00
938.80,915.48,1811.97,10659.00
938.75,915.44,1811.47,10605.00
938.69,915.40,1810.97,10656.00
938.64,915.36,1810.47,10641.00
938.59,915.31,1809.98,10685.00
938.54,915.27,1809.48,10623.00
938.49,915.23,1808.98,10663.00
938.43,915.19,1808.48,10696.00
938.38,915.15,1807.98,10710.00
938.33,915.10,1807.48,10643.00
938.28,915.06,1806.98,10668.00
938.23,915.02,1806.48,10678.00
938.17,914.98,1805.98,10654.00
938.12,914.94,1805.48,10643.00
938.07,914.89,1804.98,10718.00
938.02,914.85,1804.48,10641.00
937.97,914.81,1803.98,10655.00
937.91,914.77,1803.48,10625.00
937.86,914.73,1802.98,10708.00
937.81,914.69,1802.48,10674.00
937.76,914.64,1801.98,10701.00
937.71,914.60,1801.48,10649.00
937.65,914.56,1800.98,10631.00
937.60,914.52,1800.48,10663.00
937.55,914.48,1799.98,10678.00
